Aplicação,Dependência,Pacote,Versão,Peso
CHADO,libssl1.1,debconf-2.0,any,3
CHADO,libssl1.1,libc6 ,>= 2.14,3
CHADO,dpkg,tar ,>= 1.28-1,1
CHADO,libacl1,libattr1 ,>= 1:2.4.46-8,2
CHADO,libacl1,libc6 ,>= 2.14,2
CHADO,libattr1,libc6 ,>= 2.4,1
CHADO,libselinux1,libc6 ,>= 2.14,2
CHADO,libselinux1,libpcre3,any,2
CHADO,libpcre3,libc6 ,>= 2.14,1
CHADO,libbz2-1.0,libc6 ,>= 2.4,1
CHADO,liblzma5,libc6 ,>= 2.17,1
CHADO,libzstd1,libc6 ,>= 2.14,1
CHADO,libtemplate-perl,libappconfig-perl ,>= 1.56,4
CHADO,libtemplate-perl,libc6 ,>= 2.4,4
CHADO,libtemplate-perl,perl ,>= 5.26.1-5,4
CHADO,libtemplate-perl,perlapi-5.26.1,any,4
CHADO,libappconfig-perl,perl,any,1
CHADO,perl,libperl5.26 ,= 5.26.1-6ubuntu0.3,3
CHADO,perl,perl-base ,= 5.26.1-6ubuntu0.3,3
CHADO,perl,perl-modules-5.26 ,>= 5.26.1-6ubuntu0.3,3
CHADO,libperl5.26,libbz2-1.0,any,7
CHADO,libperl5.26,libc6 ,>= 2.23,7
CHADO,libperl5.26,libdb5.3,any,7
CHADO,libperl5.26,libgdbm-compat4,any,7
CHADO,libperl5.26,libgdbm5 ,>= 1.12,7
CHADO,libperl5.26,perl-modules-5.26 ,>= 5.26.1-6ubuntu0.3,7
CHADO,libperl5.26,zlib1g ,>= 1:1.2.2.3,7
CHADO,libbz2-1.0,libc6 ,>= 2.4,1
CHADO,libc6,libgcc1,any,1
CHADO,libgcc1,gcc-8-base ,= 8.2.0-1ubuntu2~18.04,2
CHADO,libgcc1,libc6 ,>= 2.14,2
CHADO,libdb5.3,libc6 ,>= 2.17,1
CHADO,libgdbm-compat4,libc6 ,>= 2.14,2
CHADO,libgdbm-compat4,libgdbm5 ,>= 1.14,2
CHADO,libgdbm5,libc6 ,>= 2.14,1
CHADO,perl-modules-5.26,perl-base ,>= 5.26.1-1,1
CHADO,dpkg,tar ,>= 1.28-1,1
CHADO,libacl1,libattr1 ,>= 1:2.4.46-8,2
CHADO,libacl1,libc6 ,>= 2.14,2
CHADO,libattr1,libc6 ,>= 2.4,1
CHADO,libselinux1,libc6 ,>= 2.14,2
CHADO,libselinux1,libpcre3,any,2
CHADO,libpcre3,libc6 ,>= 2.14,1
CHADO,liblzma5,libc6 ,>= 2.17,1
CHADO,libzstd1,libc6 ,>= 2.14,1
CHADO,zlib1g,libc6 ,>= 2.14,1
CHADO,libxml-simple-perl,libxml-libxml-perl,any,5
CHADO,libxml-simple-perl,libxml-namespacesupport-perl,any,5
CHADO,libxml-simple-perl,libxml-sax-expat-perl,any,5
CHADO,libxml-simple-perl,libxml-sax-perl,any,5
CHADO,libxml-simple-perl,perl,any,5
CHADO,libxml-libxml-perl,libc6 ,>= 2.14,6
CHADO,libxml-libxml-perl,libxml-namespacesupport-perl,any,6
CHADO,libxml-libxml-perl,libxml-sax-perl,any,6
CHADO,libxml-libxml-perl,libxml2 ,>= 2.7.4,6
CHADO,libxml-libxml-perl,perl ,>= 5.26.1-2ubuntu1,6
